id,tanggal_laporan,pesan
41b2d298-b9f7-4056-b5fb-c6a02cb183c1,18/11/2025,"sepertinya tong sampah di lantai 3 setiap jam istirahat harus kosong, biar gak berair dan bau saat istirahat makan"
42c9f6ab-0a17-4b64-80d5-dae3cc168d86,18/11/2025,saran saya sering² datang ke smkn 18 jakarta soal nya banyak jajanan nya terimkasih
ae9e1863-ddd2-47cc-b24e-8e0a04188c7d,18/11/2025,saran untuk dalas kedepan nya kita mulai untuk mengumpulkan sampah yang bisa dijual
3495871e-4978-4c65-87db-340719dd92bb,18/11/2025,adakan penyuluhan lingkungan secara sederhana
40a93552-f9ef-421e-b8d8-5a3b9c1232d9,27/11/2025,Harusnya setiap kelas ada lomba kebersihan biar makin semangat
